robot_name,robot_path,test_name,test_type,hand_path,episodes,max_steps,reward_mean,reward_std,tis_mean,tis_std,zpd_coverage_mean,zpd_coverage_std,episode_length_mean,episode_length_std,catch_rate,too_close_rate,too_far_rate,avg_distance_mean,avg_distance_std
league,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/iteration_10/robot/robot/best_model.zip,H1,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_1\hand\hand\best_model.zip,50,100,0.9529307138453056,51.53933412792114,0.39299999999999996,0.3423638415487243,0.634811760481862,0.22427938231823266,54.96,39.83865459575662,0.6,0.29703458407771793,0.06815365544042015,4.09658793926239,0.6555581400489366
league,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/iteration_10/robot/robot/best_model.zip,H2,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_2\hand\hand\best_model.zip,50,100,-17.194666377468785,37.89840092994504,0.2588,0.2696786235503289,0.5777678741062995,0.21212057606884566,39.46,35.83752781652216,0.76,0.34953016428681954,0.07270196160688096,3.986927433013916,0.6452333612313007
league,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/iteration_10/robot/robot/best_model.zip,H3,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_3\hand\hand\best_model.zip,50,100,-16.670548491028505,37.254687318570355,0.2522,0.2587221675852303,0.5859201312872758,0.20469388363488106,39.14,36.56337511773222,0.74,0.3441285756503326,0.06995129306239145,3.989751138687134,0.6288240672741583
league,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/iteration_10/robot/robot/best_model.zip,H4,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_4\hand\hand\best_model.zip,50,100,-16.774492578985818,37.604500584025125,0.2592,0.26545688915528265,0.600630689321808,0.21018183620792075,39.16,36.00686601191501,0.76,0.3296535511815304,0.06971575949666164,4.028430967330933,0.6489825156587061
league,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/iteration_10/robot/robot/best_model.zip,H5,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_5\hand\hand\best_model.zip,50,100,-14.279620315349163,40.28291450130525,0.2778,0.2855050962767565,0.6061657161082805,0.22806544160412698,40.42,36.70318242332673,0.74,0.3258809534462327,0.06795333044548679,4.020382323265076,0.6593584068956722
league,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/iteration_10/robot/robot/best_model.zip,H6,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_6\hand\hand\best_model.zip,50,100,-22.666321856560725,32.006897137069174,0.22119999999999998,0.22782133350500783,0.5934513227041384,0.2126290474272237,35.36,33.77262796999961,0.8,0.33467322804888866,0.071875449246973,4.0017787456512455,0.6690157030018973
league,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/iteration_10/robot/robot/best_model.zip,H7,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_7\hand\hand\best_model.zip,50,100,-27.443998814451085,23.176294794503676,0.1862,0.17859328094864038,0.6059486988760795,0.22345691455789252,29.02,27.502356262691386,0.88,0.3135177692571141,0.0805335318668064,4.102217559814453,0.6803802794632632
league,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/iteration_10/robot/robot/best_model.zip,H8,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_8\hand\hand\best_model.zip,50,100,-27.508268246945207,22.43371526736889,0.18540000000000004,0.16775231742065444,0.6064452677926362,0.23155385538808795,29.88,28.503080535268463,0.88,0.3191960686487002,0.07435866355866355,4.0723894548416135,0.6496776208828093
league,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/iteration_10/robot/robot/best_model.zip,H9,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_9\hand\hand\best_model.zip,50,100,-30.374058056515217,19.18019666066951,0.1724,0.14827757753618717,0.6005205384357643,0.2277881000598987,27.96,24.89334047491417,0.92,0.31775366296034796,0.08172579860388784,4.070948958396912,0.6533950360424103
league,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/iteration_10/robot/robot/best_model.zip,H10,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_10\hand\hand\best_model.zip,50,100,-31.46834503750063,15.540932298764112,0.16579999999999998,0.13495317706523252,0.5958612783996576,0.22490312874346063,27.1,23.624775131204956,0.94,0.3216127537359457,0.08252596786439667,4.105774087905884,0.6853113636820118
