iteration,timesteps,iteration_progress,opponent_index,opponent,probability,pool_size,uniform_probability,preference_ratio,opponent_age
2,1080000,0.36,0,Scr,0.2,2,0.5,0.4,
2,1080000,0.36,1,H1,0.8,2,0.5,1.6,0
2,1090000,0.36333333333333334,0,Scr,0.2,2,0.5,0.4,
2,1090000,0.36333333333333334,1,H1,0.8,2,0.5,1.6,0
2,1100000,0.36666666666666664,0,Scr,0.2,2,0.5,0.4,
2,1100000,0.36666666666666664,1,H1,0.8,2,0.5,1.6,0
2,1110000,0.37,0,Scr,0.2,2,0.5,0.4,
2,1110000,0.37,1,H1,0.8,2,0.5,1.6,0
2,1120000,0.37333333333333335,0,Scr,0.2,2,0.5,0.4,
2,1120000,0.37333333333333335,1,H1,0.8,2,0.5,1.6,0
2,1130000,0.37666666666666665,0,Scr,0.2,2,0.5,0.4,
2,1130000,0.37666666666666665,1,H1,0.8,2,0.5,1.6,0
2,1140000,0.38,0,Scr,0.2,2,0.5,0.4,
2,1140000,0.38,1,H1,0.8,2,0.5,1.6,0
2,1150000,0.38333333333333336,0,Scr,0.2,2,0.5,0.4,
2,1150000,0.38333333333333336,1,H1,0.8,2,0.5,1.6,0
2,1160000,0.38666666666666666,0,Scr,0.2,2,0.5,0.4,
2,1160000,0.38666666666666666,1,H1,0.8,2,0.5,1.6,0
2,1170000,0.39,0,Scr,0.2,2,0.5,0.4,
2,1170000,0.39,1,H1,0.8,2,0.5,1.6,0
2,1180000,0.3933333333333333,0,Scr,0.2,2,0.5,0.4,
2,1180000,0.3933333333333333,1,H1,0.8,2,0.5,1.6,0
2,1190000,0.39666666666666667,0,Scr,0.2,2,0.5,0.4,
2,1190000,0.39666666666666667,1,H1,0.8,2,0.5,1.6,0
2,1200000,0.4,0,Scr,0.2,2,0.5,0.4,
2,1200000,0.4,1,H1,0.8,2,0.5,1.6,0
2,1210000,0.4033333333333333,0,Scr,0.2,2,0.5,0.4,
2,1210000,0.4033333333333333,1,H1,0.8,2,0.5,1.6,0
2,1220000,0.4066666666666667,0,Scr,0.2,2,0.5,0.4,
2,1220000,0.4066666666666667,1,H1,0.8,2,0.5,1.6,0
2,1230000,0.41,0,Scr,0.2,2,0.5,0.4,
2,1230000,0.41,1,H1,0.8,2,0.5,1.6,0
2,1240000,0.41333333333333333,0,Scr,0.2,2,0.5,0.4,
2,1240000,0.41333333333333333,1,H1,0.8,2,0.5,1.6,0
2,1250000,0.4166666666666667,0,Scr,0.2,2,0.5,0.4,
2,1250000,0.4166666666666667,1,H1,0.8,2,0.5,1.6,0
2,1260000,0.42,0,Scr,0.2,2,0.5,0.4,
2,1260000,0.42,1,H1,0.8,2,0.5,1.6,0
2,1270000,0.42333333333333334,0,Scr,0.2,2,0.5,0.4,
2,1270000,0.42333333333333334,1,H1,0.8,2,0.5,1.6,0
2,1280000,0.4266666666666667,0,Scr,0.2,2,0.5,0.4,
2,1280000,0.4266666666666667,1,H1,0.8,2,0.5,1.6,0
2,1290000,0.43,0,Scr,0.2,2,0.5,0.4,
2,1290000,0.43,1,H1,0.8,2,0.5,1.6,0
2,1300000,0.43333333333333335,0,Scr,0.2,2,0.5,0.4,
2,1300000,0.43333333333333335,1,H1,0.8,2,0.5,1.6,0
2,1310000,0.43666666666666665,0,Scr,0.2,2,0.5,0.4,
2,1310000,0.43666666666666665,1,H1,0.8,2,0.5,1.6,0
2,1320000,0.44,0,Scr,0.2,2,0.5,0.4,
2,1320000,0.44,1,H1,0.8,2,0.5,1.6,0
2,1330000,0.44333333333333336,0,Scr,0.2,2,0.5,0.4,
2,1330000,0.44333333333333336,1,H1,0.8,2,0.5,1.6,0
2,1340000,0.44666666666666666,0,Scr,0.2,2,0.5,0.4,
2,1340000,0.44666666666666666,1,H1,0.8,2,0.5,1.6,0
2,1350000,0.45,0,Scr,0.2,2,0.5,0.4,
2,1350000,0.45,1,H1,0.8,2,0.5,1.6,0
