iteration,timesteps,iteration_progress,opponent_index,opponent,probability,pool_size,uniform_probability
2,1420000,0.71,0,Scr,0.2,2,0.5
2,1420000,0.71,1,H1,0.8,2,0.5
2,1430000,0.715,0,Scr,0.2,2,0.5
2,1430000,0.715,1,H1,0.8,2,0.5
2,1440000,0.72,0,Scr,0.2,2,0.5
2,1440000,0.72,1,H1,0.8,2,0.5
2,1450000,0.725,0,Scr,0.2,2,0.5
2,1450000,0.725,1,H1,0.8,2,0.5
2,1460000,0.73,0,Scr,0.2,2,0.5
2,1460000,0.73,1,H1,0.8,2,0.5
2,1470000,0.735,0,Scr,0.2,2,0.5
2,1470000,0.735,1,H1,0.8,2,0.5
2,1480000,0.74,0,Scr,0.2,2,0.5
2,1480000,0.74,1,H1,0.8,2,0.5
2,1490000,0.745,0,Scr,0.2,2,0.5
2,1490000,0.745,1,H1,0.8,2,0.5
2,1500000,0.75,0,Scr,0.2,2,0.5
2,1500000,0.75,1,H1,0.8,2,0.5
2,1510000,0.755,0,Scr,0.2,2,0.5
2,1510000,0.755,1,H1,0.8,2,0.5
2,1520000,0.76,0,Scr,0.2,2,0.5
2,1520000,0.76,1,H1,0.8,2,0.5
2,1530000,0.765,0,Scr,0.2,2,0.5
2,1530000,0.765,1,H1,0.8,2,0.5
2,1540000,0.77,0,Scr,0.2,2,0.5
2,1540000,0.77,1,H1,0.8,2,0.5
2,1550000,0.775,0,Scr,0.2,2,0.5
2,1550000,0.775,1,H1,0.8,2,0.5
2,1560000,0.78,0,Scr,0.2,2,0.5
2,1560000,0.78,1,H1,0.8,2,0.5
2,1570000,0.785,0,Scr,0.2,2,0.5
2,1570000,0.785,1,H1,0.8,2,0.5
2,1580000,0.79,0,Scr,0.2,2,0.5
2,1580000,0.79,1,H1,0.8,2,0.5
2,1590000,0.795,0,Scr,0.2,2,0.5
2,1590000,0.795,1,H1,0.8,2,0.5
2,1600000,0.8,0,Scr,0.2,2,0.5
2,1600000,0.8,1,H1,0.8,2,0.5
2,1610000,0.805,0,Scr,0.2,2,0.5
2,1610000,0.805,1,H1,0.8,2,0.5
2,1620000,0.81,0,Scr,0.2,2,0.5
2,1620000,0.81,1,H1,0.8,2,0.5
2,1630000,0.815,0,Scr,0.2,2,0.5
2,1630000,0.815,1,H1,0.8,2,0.5
