rank_input_order,radial_gain,tangent_gain,boundary_gain,boundary_band,boundary_guard,smoothing,score_mean_tiz,score_min_tiz,scripted_tiz_mean,scripted_tiz_std,scripted_episode_length_mean,scripted_episode_length_std,scripted_catch_rate,scripted_too_close_rate,scripted_too_far_rate,scripted_avg_distance_mean,h1_tiz_mean,h1_tiz_std,h1_episode_length_mean,h1_episode_length_std,h1_catch_rate,h1_too_close_rate,h1_too_far_rate,h1_avg_distance_mean
21,1.2,0.0,1.35,1.25,0.2,0.0,0.12799166666666667,0.09063333333333334,0.09063333333333334,0.005281650625830279,18.400000000000002,0.5827520913733371,1.0,0.3755292916840915,0.14083188007832326,4.142410708642342,0.16535,0.0030253099014811826,32.51499999999999,1.0724854311364773,0.9816666666666666,0.4012223746386449,0.1120637589929005,4.0722512365313746
22,1.2,0.0,1.35,1.25,0.2,0.1,0.12780833333333333,0.0901,0.0901,0.005246665607793193,18.326666666666668,0.5586665672235386,1.0,0.3775745993071687,0.14033273195634174,4.136775296016681,0.16551666666666667,0.0035764274539452356,32.504999999999995,1.1554328193365462,0.9816666666666666,0.4005048345159316,0.11195884052915456,4.068208563775205
23,1.2,0.0,2.0,1.25,0.2,0.0,0.11958333333333332,0.0868,0.0868,0.005369357503463537,17.868333333333336,0.6872469231166726,1.0,0.3827706748315857,0.14344874163786867,4.139525236807166,0.15236666666666665,0.004874508522234153,30.745,0.16822603841260733,0.9866666666666667,0.4079226357566205,0.11719142797985971,4.071016683340172
24,1.2,0.0,2.0,1.25,0.2,0.1,0.11765,0.08646666666666668,0.08646666666666668,0.005383849304478481,17.84,0.6473214039408871,1.0,0.3845981804367853,0.1430933190660835,4.131947869288443,0.14883333333333335,0.0037287173844813394,30.12,0.612515305931206,0.9866666666666667,0.4090775913400624,0.11740006866201896,4.067878126000834
25,1.2,0.3,0.8,1.25,0.2,0.0,0.14120000000000002,0.09305000000000001,0.09305000000000001,0.0030826125283596687,19.001666666666665,0.634120125318013,1.0,0.3676257945002232,0.14107472027054815,4.148510136548142,0.18935000000000002,0.011326186472065508,35.87166666666667,1.013229161312157,0.9316666666666666,0.38757547701730477,0.10455262961254091,4.053214329681523
26,1.2,0.3,0.8,1.25,0.2,0.1,0.13916666666666666,0.09231666666666667,0.09231666666666667,0.003527510926040245,18.921666666666667,0.720977345922417,1.0,0.3701356222006707,0.14120972864506423,4.1403066413452745,0.18601666666666664,0.008675012007676635,35.25666666666667,0.4996582165173832,0.9433333333333334,0.38920248260152973,0.10459179891940289,4.046936474947054
27,1.2,0.3,1.35,1.25,0.2,0.0,0.13540000000000002,0.08836666666666669,0.08836666666666669,0.0029825883613622127,18.826666666666668,0.5802011145571265,1.0,0.39199817977064394,0.1400933930249644,4.11592492112723,0.18243333333333334,0.01032622067037758,36.17666666666667,0.7143236894667114,0.9233333333333333,0.4075408289537445,0.10493213786407342,4.033054546081321
28,1.2,0.3,1.35,1.25,0.2,0.1,0.1338416666666667,0.08771666666666667,0.08771666666666667,0.003177000681985019,18.663333333333334,0.6295699590461197,1.0,0.39195685641495914,0.1403810201853699,4.111496795072449,0.1799666666666667,0.008144527815247075,35.553333333333335,0.3225032299579826,0.9283333333333333,0.40745246392769746,0.10494093965091746,4.031578641740976
29,1.2,0.3,2.0,1.25,0.2,0.0,0.1281,0.08383333333333333,0.08383333333333333,0.003642229170897033,18.141666666666666,0.7452739988308557,1.0,0.4005425608265643,0.14251745102350466,4.1071108952641495,0.17236666666666667,0.008085841535259855,34.36666666666667,0.19553345834750102,0.9466666666666667,0.41336890337887405,0.10745218604978184,4.030072527608692
30,1.2,0.3,2.0,1.25,0.2,0.1,0.12727500000000003,0.08341666666666668,0.08341666666666668,0.003620888472921168,18.105,0.7485151969065158,1.0,0.4032066874227389,0.1423734460830179,4.099795124925513,0.17113333333333336,0.009075562425179694,34.47666666666667,0.4376166511152588,0.9383333333333334,0.4161585401184487,0.10810347720757646,4.026459861530939
