pair_id,trial_index,internal_seed,hand_stride_cm,virtual_hand_smoothing_alpha,virtual_hand_delay_frames,league_order_in_pair,mpc_order_in_pair,league_done_reason,mpc_done_reason,league_tiz_fixed_horizon_fraction,mpc_tiz_fixed_horizon_fraction,delta_tiz_fixed_horizon_fraction,league_zpd_observed_occupancy_fraction,mpc_zpd_observed_occupancy_fraction,delta_zpd_observed_occupancy_fraction,league_zpd_occupancy_fraction,mpc_zpd_occupancy_fraction,delta_zpd_occupancy_fraction,league_duration_s,mpc_duration_s,delta_duration_s,league_distance_cm_mean,mpc_distance_cm_mean,delta_distance_cm_mean,league_too_close_fraction,mpc_too_close_fraction,delta_too_close_fraction,league_too_far_fraction,mpc_too_far_fraction,delta_too_far_fraction,league_min_boundary_clearance_cm,mpc_min_boundary_clearance_cm,delta_min_boundary_clearance_cm,league_policy_inference_latency_ms_mean,mpc_policy_inference_latency_ms_mean,delta_policy_inference_latency_ms_mean
trial019,19,19,0.184075759,0.568147435688,2,1,2,caught,caught,0.03375074667856097,0.04467640498963495,-0.010925658311073984,0.048316251830161056,0.19111111111111112,-0.14279485928095006,0.048316251830161056,0.19111111111111112,-0.14279485928095006,41.5453217998147,13.632513700053096,27.912808099761605,2.6371100517876154,2.9936767609914146,-0.3565667092037992,0.9516837481698389,0.8088888888888889,0.14279485928095004,0.0,0.0,0.0,1.0452287912368774,0.8402912139892571,0.2049375772476203,2.5898608600289243,1.7114196588019175,0.8784412012270069
trial020,20,20,0.156015193,0.763338975182,1,2,1,caught,caught,0.03138704166437189,0.13086222498677672,-0.09947518332240482,0.5769230769230769,0.5180722891566265,0.05885078776645036,0.5769230769230769,0.5180722891566265,0.05885078776645036,3.1517321998253465,14.99668539967388,-11.844953199848533,3.6855382369114804,3.4322007726952735,0.25333746421620695,0.4230769230769231,0.4819277108433735,-0.05885078776645042,0.0,0.0,0.0,1.0095043897628784,0.7302619934082024,0.27924239635467596,4.19995289149822,1.8508245890599586,2.3491283024382614
trial021,21,21,0.256223518,0.842670580689,1,1,2,caught,caught,0.018188285004968444,0.019168375013396143,-0.000980090008427699,0.6428571428571429,0.5757575757575758,0.0670995670995671,0.6428571428571429,0.5757575757575758,0.0670995670995671,1.702229999937117,2.00514530017972,-0.3029153002426028,3.389129421540669,3.332837224006653,0.056292197534016264,0.35714285714285715,0.42424242424242425,-0.0670995670995671,0.0,0.0,0.0,1.7374274253845208,0.9581462860107415,0.7792811393737793,1.8442333848388106,1.0827093210536987,0.761524063785112
trial022,22,22,0.173269383,0.622844029726,0,2,1,caught,caught,0.018236974999308587,0.048843188335498174,-0.030606213336189587,0.45,0.21238938053097345,0.23761061946902656,0.45,0.21238938053097345,0.23761061946902656,2.423783900216222,13.534058099612594,-11.110274199396372,3.2967388063669203,2.8440915926367833,0.45264721373013694,0.55,0.7876106194690266,-0.2376106194690265,0.0,0.0,0.0,0.6615604877471923,0.7637302398681634,-0.10216975212097101,3.934623076556585,1.4891533222463396,2.4454697543102455
trial023,23,23,0.238786616,0.506315965624,3,1,2,caught,caught,0.015183368325233459,0.013208723332112034,0.0019746449931214247,0.46875,0.34210526315789475,0.12664473684210525,0.46875,0.34210526315789475,0.12664473684210525,1.920825599692762,2.3197967996820807,-0.39897119998931885,3.35493690520525,3.084136548795198,0.2708003564100516,0.53125,0.6578947368421053,-0.1266447368421053,0.0,0.0,0.0,1.1453487396240227,0.8181449890136712,0.32720375061035156,4.442741914141562,1.2335351894836168,3.209206724657945
trial024,24,24,0.166053767,0.820383631853,1,2,1,caught,caught,0.02753308666869998,0.07068575333493451,-0.04315266666623453,0.5909090909090909,0.32857142857142857,0.26233766233766237,0.5909090909090909,0.32857142857142857,0.26233766233766237,2.6944175995886326,12.694383100606501,-9.999965501017869,3.5856689594008704,3.196023064000266,0.38964589540060457,0.4090909090909091,0.6714285714285714,-0.26233766233766226,0.0,0.0,0.0,1.0679229021072387,0.8090984344482415,0.25882446765899725,1.9824580874207407,1.4815665335889068,0.5008915538318339
trial025,25,25,0.132144247,0.849251312144,3,1,2,caught,caught,0.05219245498689513,0.22818027332735558,-0.17598781834046046,0.32666666666666666,0.5894736842105263,-0.2628070175438596,0.32666666666666666,0.5894736842105263,-0.2628070175438596,9.130381300114095,22.960719300433993,-13.830338000319898,3.218249730269114,3.5260041559997357,-0.3077544257306215,0.6733333333333333,0.4105263157894737,0.26280701754385966,0.0,0.0,0.0,0.8537436246871948,0.5290090560913079,0.3247345685958869,2.236138941757631,1.5362216538127935,0.6999172879448374
trial026,26,26,0.198319784,0.614437823268,3,2,1,caught,caught,0.030611754984905322,0.08062767167575657,-0.05001591669085125,0.13513513513513514,0.3696682464454976,-0.23453311131036247,0.13513513513513514,0.3696682464454976,-0.23453311131036247,13.549729200080037,12.816482999362051,0.7332462007179856,2.686797957699578,3.142535852594963,-0.45573789489538497,0.8648648648648649,0.6303317535545023,0.23453311131036259,0.0,0.0,0.0,1.0027286529541015,0.8412162780761712,0.16151237487793035,3.0232972815228263,1.5229676761442708,1.5003296053785555
trial027,27,27,0.239547243,0.813873630423,1,1,2,caught,caught,0.008118380000814796,0.010133503330871462,-0.0020151233300566666,0.27586206896551724,0.3225806451612903,-0.046718576195773076,0.27586206896551724,0.3225806451612903,-0.046718576195773076,1.818550099618733,1.9455386996269226,-0.12698860000818968,3.0929193044530936,3.056607773227076,0.03631153122601738,0.7241379310344828,0.6774193548387096,0.04671857619577313,0.0,0.0,0.0,1.308085632324218,0.9807559967041009,0.3273296356201172,6.670328555628657,5.722386731455724,0.9479418241729336
trial028,28,28,0.270366787,0.604336423305,0,2,1,caught,caught,0.004027956662078698,0.006066996666292349,-0.002039040004213651,0.18181818181818182,0.25,-0.06818181818181818,0.18181818181818182,0.25,-0.06818181818181818,1.2780585996806622,1.40089219994843,-0.1228336002677679,2.776199432936582,2.983186428745588,-0.20698699580900604,0.8181818181818182,0.75,0.06818181818181823,0.0,0.0,0.0,2.4801632881164544,1.6145278930664055,0.8656353950500488,1.7884238401339168,1.0257086757084597,0.7627151644254571
