rank_input_order,horizon,velocity_window,action_grid,discount,boundary_guard,effort_weight,smoothness_weight,collision_penalty,oob_penalty,score_mean_tiz,score_min_tiz,scripted_tiz_mean,scripted_tiz_std,scripted_episode_length_mean,scripted_episode_length_std,scripted_catch_rate,scripted_too_close_rate,scripted_too_far_rate,scripted_avg_distance_mean,h1_tiz_mean,h1_tiz_std,h1_episode_length_mean,h1_episode_length_std,h1_catch_rate,h1_too_close_rate,h1_too_far_rate,h1_avg_distance_mean
33,5,4,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.0,40.0,80.0,0.13940000000000002,0.11720000000000001,0.11720000000000001,0.006620422947214182,20.07,1.198165264060012,1.0,0.3464040681030311,0.08986630731979796,3.966732926306893,0.16160000000000002,0.012538341198101146,28.53333333333333,1.9370166063648835,0.9733333333333333,0.3857166925360625,0.07545945890347884,3.8659288842029063
34,5,4,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.0,80.0,80.0,0.14415,0.11896666666666667,0.11896666666666667,0.006001111008249517,20.653333333333332,1.1581162866194965,1.0,0.35855326086424527,0.0871432902024188,3.940369715273929,0.16933333333333334,0.010450518328453078,30.55666666666667,1.5612921998566878,0.9666666666666667,0.402733162183982,0.07284878215692414,3.829258795716323
35,5,4,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.05,40.0,80.0,0.14123333333333335,0.11626666666666667,0.11626666666666667,0.005225259164226531,19.883333333333336,1.1645313792823848,1.0,0.3454864327353866,0.08958163980208546,3.9644287094988067,0.16620000000000001,0.006286493458200696,29.26,0.7562407024221851,0.9766666666666666,0.38552408275415556,0.07414626220919802,3.8665909205526625
36,5,4,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.05,80.0,80.0,0.14756666666666668,0.11876666666666669,0.11876666666666669,0.004891148467725497,20.576666666666664,1.0623715608643396,1.0,0.35693399771677514,0.08665861484716958,3.936728996909768,0.17636666666666667,0.005185878260558513,31.756666666666664,0.4423045707805117,0.9633333333333334,0.4009492401943015,0.07155558971655078,3.8318612822837683
37,5,4,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.02,0.0,40.0,80.0,0.14791666666666667,0.12146666666666668,0.12146666666666668,0.004142865353029643,21.276666666666667,0.49541228621556643,0.9966666666666667,0.3549019577875175,0.09126584806627898,3.968722756878527,0.17436666666666667,0.009265167744479004,31.386666666666667,1.5617404820690697,0.9533333333333333,0.39543322868152786,0.07306470356979809,3.8574486383398803
38,5,4,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.02,0.0,80.0,80.0,0.15396666666666664,0.12376666666666669,0.12376666666666669,0.0021221058723196093,22.03,0.3099999999999995,0.9966666666666667,0.3694800190990895,0.08826330549143992,3.934868037408798,0.18416666666666662,0.005484827557301466,33.75666666666667,1.1399268982409938,0.9433333333333334,0.4132090260575738,0.0699975234547212,3.8191201377630697
39,5,4,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.02,0.05,40.0,80.0,0.14933333333333332,0.11959999999999998,0.11959999999999998,0.0017521415467935313,20.873333333333335,0.43500957843860427,0.9933333333333333,0.35379134147871727,0.09181832719287493,3.973168050286112,0.17906666666666668,0.017917124025170286,32.160000000000004,2.4883930557691234,0.9366666666666666,0.399962905908911,0.07124847481679879,3.8399528607955453
40,5,4,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.02,0.05,80.0,80.0,0.1532,0.12163333333333333,0.12163333333333333,0.0012897028081435423,21.563333333333333,0.7750053763254363,0.9933333333333333,0.367024512643302,0.08931465405672388,3.9464399896883555,0.18476666666666666,0.018457067300449794,33.94333333333333,2.188157520228681,0.9366666666666665,0.41702363778918344,0.06843307027700271,3.804701362271084
41,5,6,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.0,40.0,80.0,0.14301666666666668,0.11766666666666668,0.11766666666666668,0.006035174672976196,20.709999999999997,1.2365678307314962,0.9966666666666667,0.3546629468988853,0.08850532042011944,3.953327071669019,0.16836666666666666,0.013569205331681494,30.49,2.4262522539917395,0.9433333333333334,0.3947441659647999,0.07300748057473964,3.8475141486171367
42,5,6,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.0,80.0,80.0,0.14755000000000001,0.11916666666666668,0.11916666666666668,0.006543189843901311,21.25,1.4077997016621362,0.9966666666666667,0.3661577423582516,0.08562555645805074,3.9246428974548704,0.17593333333333336,0.0132322837535073,32.32666666666667,2.375338572358335,0.9366666666666666,0.41029287688522703,0.07039275069473021,3.81258934505518
43,5,6,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.05,40.0,80.0,0.14123333333333335,0.115,0.115,0.004807286136688775,20.006666666666664,0.9957074536897539,0.9966666666666667,0.3487603984880688,0.08961980768206858,3.9653630549868577,0.16746666666666668,0.017949187539644623,30.546666666666667,3.9187030167305794,0.9499999999999998,0.3967474604490178,0.07367135420450314,3.8466278955106112
44,5,6,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.05,80.0,80.0,0.14756666666666668,0.11643333333333335,0.11643333333333335,0.005896043871388109,20.496666666666666,1.1754715365900337,0.9966666666666667,0.35876813894937903,0.0870654078962242,3.940657638202276,0.1787,0.01364697768738559,32.96,3.1053663229963715,0.9499999999999998,0.41247191694316143,0.07122347936022362,3.812549804075769
45,5,6,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.02,0.0,40.0,80.0,0.14705000000000001,0.11873333333333334,0.11873333333333334,0.005517547764481371,21.013333333333332,0.8085377748338882,0.9966666666666667,0.3577318150020404,0.0911326307775167,3.9687829376151416,0.17536666666666667,0.009602777376016476,32.483333333333334,2.350007092187881,0.9533333333333335,0.40773753153130055,0.0699187876878543,3.8274633734523724
46,5,6,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.02,0.0,80.0,80.0,0.15076666666666666,0.11996666666666667,0.11996666666666667,0.005723926391327303,21.52,0.8764131445842177,0.9966666666666667,0.3700806949354398,0.08846118729284237,3.9367896397967215,0.18156666666666665,0.011090686783663763,34.14333333333334,2.1825062046494454,0.9466666666666667,0.4218251674362857,0.0679348201369712,3.7986751593512693
47,5,6,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.02,0.05,40.0,80.0,0.14965,0.11769999999999999,0.11769999999999999,0.002740437921208947,20.91,0.11532562594670827,0.9933333333333333,0.35652437275061905,0.09251629940472873,3.9753438712593465,0.1816,0.010887148386974441,32.76,2.6512827084262436,0.9366666666666666,0.3987835073616777,0.07187925005251093,3.8508481325839075
